K	alpha1	lambda1	coph	correlation	nfactor	optimal_run	optimal_obj
20	90	60	0.909107709366382	3.29705627458711	8.9	18	48826.8155072954
20	80	60	0.909627401396729	3.37872051457319	9.3	10	46950.2001967052
10	40	90	0.910126528139805	3.38837690717347	9.43333333333333	24	43573.461429106
10	100	60	0.91096985733083	3.07051879318193	7.6	12	51120.9936676819
12	70	10	0.911299459050269	3.62875949768024	11.9	22	26517.9632763021
16	100	80	0.911377884254442	3.0600753764114	7.46666666666667	1	55204.4346481042
19	90	60	0.911522986648525	3.30837746390926	9	21	48756.7085421998
13	100	90	0.9120759660194	2.96720055034601	6.86666666666667	16	56959.6595269695
12	70	90	0.912750707936574	3.18532813599551	8.16666666666667	3	51519.6614597294
15	80	50	0.91304388364306	3.4274338812735	9.7	10	44451.6181355804
10	100	20	0.913085806251832	3.36808873297717	9.4	29	37109.2786285161
10	70	80	0.913247822321436	3.17104767087401	8.13333333333333	24	49600.232545573
12	80	50	0.913407407227131	3.38629631412554	9.4	15	45002.4508486026
14	80	80	0.913690551231673	3.16340023720069	8.1	29	51772.9118538956
17	80	50	0.914473921687231	3.50986946986628	10.2	8	44070.5000568069
19	100	60	0.914903063342412	3.24144440057139	8.5	9	50356.0159025221
18	80	90	0.914981376580716	3.1398696167425	7.9	16	53191.6866536979
13	100	10	0.915072079328602	3.69627301329408	12.0666666666667	4	27597.2979833274
11	90	10	0.915277718677376	3.51244959875919	10.9	7	29492.5439290891
10	50	70	0.915554479016797	3.34857082794432	9.26666666666667	4	43226.4091237114
16	90	70	0.915599108885616	3.17571267058381	8.13333333333333	3	51458.6086102412
15	60	90	0.916129926406784	3.3464117640101	9.03333333333333	23	48808.580481246
13	80	60	0.916140131687789	3.30412196659938	9	9	47296.2334582528
10	100	50	0.916306122275665	3.1224196121087	7.93333333333333	19	48499.5303854576
11	50	70	0.916675448934063	3.44564307313488	9.86666666666667	10	42674.4300710489
16	50	90	0.916955350165466	3.44116176786225	9.73333333333333	5	46273.9541260751
19	100	80	0.917043023844227	3.03525635501406	7.2	17	55285.2776077657
12	40	90	0.917145912260702	3.50403758707785	10.0333333333333	6	42887.0156435145
14	80	60	0.91794598065429	3.28431240658811	8.9	26	47119.9823990358
16	100	70	0.917961888962393	3.06206033059146	7.56666666666667	1	52880.1239796514
13	100	70	0.918078292336134	3.06829021225495	7.53333333333333	3	53229.300897226
14	100	50	0.918267943233259	3.25036410230532	8.63333333333333	11	48201.2073390294
19	100	50	0.918302163553386	3.326831037752	9.13333333333333	20	47727.0069427476
10	90	20	0.918634062405993	3.4106015884763	9.66666666666667	11	36256.040127441
11	80	40	0.918787271884988	3.3994479896618	9.66666666666667	19	41694.0448583162
18	70	60	0.91888707168538	3.49445843754616	10.0333333333333	11	45046.5121048393
12	10	90	0.919626956686844	3.79683266656003	12	25	28699.3012544916
20	100	80	0.919900794727348	2.99804536910189	7.13333333333333	9	55134.4105149349
14	80	70	0.919938033790852	3.20574819119095	8.33333333333333	12	49811.042876785
18	70	80	0.920540482557479	3.28188649376554	8.73333333333333	1	49139.6860771551
10	50	100	0.920747155334284	3.24523148861869	8.4	20	48214.6085509945
12	40	80	0.920753872791231	3.57265812723994	10.4333333333333	4	41016.5869279294
17	100	100	0.921329812336445	2.93161254060984	6.73333333333333	14	58337.2614161671
11	80	70	0.921519464672525	3.17304209205066	8.13333333333333	1	49747.5790340348
11	80	60	0.921537859588666	3.25916767466093	8.66666666666667	20	47343.3335269221
